Project	Sample	MAPD	variance	amplicon_size
Aging	1278_ct_p1E3	0.578009345087067	0.0128744553326527	15579.0
Aging	1278_ct_p1E6	0.767989390558976	0.0175762120140453	13416.0
Aging	1278_ct_p1G9	0.713653471805741	0.0141925670215348	16168.0
Aging	1278_ct_p2B9	0.700678672394675	0.0155868982765403	13894.0
Aging	1278_ct_p2C7	0.712275030247611	0.012032067110609	23529.0
Aging	1278_ct_p2E4	0.738718364707553	0.0157652288724043	14665.0
Aging	1278_ct_p2E6	0.724164039512077	0.0138189868837793	17812.0
Aging	1278_ct_p2F5	0.702047055796346	0.0138615077322387	17203.0
Aging	1278_ct_p2G5	0.721062398945522	0.0150918650559587	14640.0
Aging	1465_ct_8p2h8	0.53355292983628	0.0101960029988639	19323.0
Aging	1465_ct_p2B11	0.614083689287923	0.0121234474793666	16816.0
Aging	1465_ctx_p2F06	0.533963765809664	0.0102576869410171	18794.0
Aging	1465_ctx_p2g8	0.567766552264704	0.0105226887622152	19311.0
Aging	5171_ct_p1H1	0.880062646552262	0.0192325761867915	14607.0
Aging	5171_ct_p2F11	0.855383110975976	0.0189050934159827	15955.0
Aging	5171_ct_p2G4	0.968668712433774	0.0263072273695909	12731.0
Aging	5219_ct_p1G1	0.95790737081352	0.0292068795217559	12950.0
Aging	5219_ct_p1G7	0.763349941862583	0.0186513663089554	15307.0
Aging	5219_ct_p2A12	1.09336856148488	0.0263311163750886	13507.0
Aging	5219_ct_p2C3	1.04607950763638	0.029037749807147	14013.0
Aging	5817_ct_p1H10	0.826560419095737	0.0171489561685235	15027.0
Aging	5817_ct_p1H2	0.750148481608902	0.0142576411474289	15304.0
Aging	5817_ct_p1H5	0.760997452527705	0.0147491543301675	14810.0
Aging	5817_ct_p2H6	0.77078165819448	0.019142846304568	13490.0
AT	1459_ct_p2B7	0.854220164038295	0.0161897122609711	15970.0
AT	1459_ct_p2D4	0.796478580427689	0.0153428564269847	14893.0
AT	1459_ct_p2H1	1.04154108402075	0.0215425682949626	15389.0
AT	1459_ct_p2H2	0.896331340752784	0.0239117055525853	11379.0
AT	1485_ct_p2C3	0.549262760908322	0.0118637957691414	15024.0
AT	1485_ct_p2D11	0.55704827946037	0.0118086449307635	14037.0
AT	1485_ct_p2D12	0.531911024387824	0.0112287968752333	15257.0
AT	1485_ct_p2E4	0.552139613665614	0.0110576518356683	15145.0
AT	1485_ct_p2E6	0.523118631335153	0.0107164232718741	15378.0
AT	1485_ct_p2F2	0.561636214423055	0.0115796321841748	15141.0
AT	1485_ct_p2G11	0.53845224878819	0.0102969427737889	17472.0
CXP	1124_2_D10	1.25484917869005	0.112403624814312	5678.0
CXP	1124_2_E12	1.18973443933584	0.0509490611180343	8144.0
CXP	1124_2_F6	1.36140448648139	0.381084318185328	5697.0
CXP	1286_2_B6	1.43210450417757	0.0418631929817135	11247.0
CXP	1286_2_C5	1.36871211118733	0.0390148199296738	10976.0
CXP	1286_2_G11	1.52176757488895	0.0424728260878926	10721.0
CXP	1286_2_H6	1.45602362719466	0.0349104756421286	10849.0
CXP	1465-2-C1	0.5750878	0.0113964186394527	15031.0
CXP	1465-2-E12	0.9528495	0.0174783671338526	14647.0
CXP	1762-1-F2	1.01410861293288	0.0199085615360102	26620.0
CXP	1762-1-G4	0.961877475738751	0.0197231252596206	26217.0
CXP	1762_1_E12	1.0682810556206	0.0182635832304967	26738.0
CXP	1762_1_E8	0.942025076851727	0.0149145050717159	29750.0
CXP	1762_1_F3	1.04284015621141	0.0173447155189326	26826.0
